Date,AAPL,MSFT,NVDA,GOOGL,AMZN
2021-04-22,128.50897216796875,246.76992797851562,14.812915802001953,111.7027816772461,165.45199584960938
2021-04-23,130.8270721435547,250.5889892578125,15.226873397827148,114.05384063720703,167.04400634765625
2021-04-26,131.21669006347656,250.97279357910156,15.439085006713867,114.54974365234375,170.4499969482422
2021-04-27,130.8953094482422,251.37579345703125,15.34307861328125,113.61001586914062,170.8715057373047
2021-04-28,130.10630798339844,244.26548767089844,15.238341331481934,116.98512268066406,172.9250030517578
2021-04-29,130.0089569091797,242.29837036132812,15.286222457885742,118.65730285644531,173.5655059814453
2021-04-30,128.04147338867188,241.98170471191406,14.971765518188477,116.71039581298828,173.37100219726562
2021-05-03,129.0933380126953,241.67469787597656,14.799450874328613,116.19364929199219,169.32449340820312
2021-05-04,124.52532196044922,237.769287109375,14.315169334411621,114.3960189819336,165.593505859375
2021-05-05,124.76882934570312,236.50265502929688,14.422147750854492,114.78975677490234,163.52699279785156
2021-05-06,126.36620330810547,239.6308135986328,14.486488342285156,115.90950775146484,165.31849670410156
2021-05-07,127.03937530517578,242.25042724609375,14.77501106262207,116.63253021240234,164.58050537109375
2021-05-10,123.76121520996094,237.1839141845703,14.229884147644043,113.648193359375,159.52450561523438
2021-05-11,122.84410095214844,236.27236938476562,14.270284652709961,112.57260131835938,161.19549560546875
2021-05-12,119.78052520751953,229.33474731445312,13.723909378051758,109.11070251464844,157.5970001220703
2021-05-13,121.9269790649414,233.20175170898438,13.630892753601074,110.53840637207031,158.07350158691406
2021-05-14,124.34659576416016,238.1147003173828,14.207192420959473,112.98517608642578,161.14500427246094
2021-05-17,123.1953353881836,235.2648162841797,14.129887580871582,113.50785827636719,163.51950073242188
2021-05-18,121.8099136352539,233.24974060058594,13.980512619018555,112.19619750976562,161.61399841308594
2021-05-19,121.65380096435547,233.82681274414062,14.030389785766602,112.64399719238281,161.58999633789062
2021-05-20,124.20999908447266,237.05838012695312,14.575764656066895,114.40196990966797,162.38400268554688
2021-05-21,122.37577056884766,235.79847717285156,14.954057693481445,113.7662124633789,160.1540069580078
2021-05-24,124.00511169433594,241.1940155029297,15.572751998901367,117.08429718017578,162.24949645996094
2021-05-25,123.80998229980469,242.0980987548828,15.608410835266113,117.17505645751953,162.95249938964844
2021-05-26,123.76121520996094,241.87689208984375,15.660527229309082,118.03990173339844,163.25799560546875
2021-05-27,122.22941589355469,239.78018188476562,15.449061393737793,117.1656265258789,161.5054931640625
2021-05-28,121.57574462890625,240.13604736328125,16.203664779663086,116.87651062011719,161.15350341796875
2021-06-01,121.25377655029297,237.94322204589844,16.223609924316406,118.08303833007812,160.9324951171875
2021-06-02,122.01478576660156,237.8470458984375,16.736066818237305,117.55789184570312,161.69949340820312
2021-06-03,120.53179931640625,236.3177947998047,16.92708969116211,116.41681671142578,159.35049438476562
2021-06-04,122.82456970214844,241.20361328125,17.5340576171875,118.69746398925781,160.31100463867188
2021-06-07,122.83431243896484,244.10816955566406,17.57470703125,119.1303939819336,159.90049743652344
2021-06-08,123.65386199951172,242.9156036376953,17.413114547729492,118.93897247314453,163.20550537109375
2021-06-09,124.03437042236328,243.89662170410156,17.31857681274414,119.41008758544922,164.0574951171875
2021-06-10,123.03922271728516,247.4071044921875,17.385175704956055,120.75843048095703,167.4824981689453
2021-06-11,124.24900817871094,248.03228759765625,17.784513473510742,120.51395416259766,167.3415069580078
2021-06-14,127.30277252197266,249.955810546875,17.977561950683594,121.4417953491211,169.19349670410156
2021-06-15,126.48326873779297,248.48423767089844,17.747846603393555,120.4241943359375,169.156494140625
2021-06-16,126.9808349609375,247.54173278808594,17.769542694091797,119.78250122070312,170.7624969482422
2021-06-17,128.58091735839844,250.9272003173828,18.614608764648438,120.74553680419922,174.46200561523438
2021-06-18,127.28331756591797,249.51336669921875,18.596153259277344,119.12641906738281,174.34500122070312
2021-06-21,129.07850646972656,252.59109497070312,18.38513946533203,120.81398010253906,172.697998046875
2021-06-22,130.71759033203125,255.36097717285156,18.843585968017578,121.32771301269531,175.27200317382812
2021-06-23,130.44439697265625,255.13015747070312,19.013694763183594,121.12590026855469,175.1909942626953
2021-06-24,130.16146850585938,256.495849609375,19.16160774230957,121.495849609375,172.45399475097656
2021-06-25,129.86875915527344,254.88966369628906,18.987506866455078,121.5042724609375,170.072998046875
2021-06-28,131.49810791015625,258.4482421875,19.939329147338867,121.53154754638672,172.1945037841797
2021-06-29,133.0103759765625,261.0258483886719,19.980981826782227,121.27020263671875,172.40699768066406
2021-06-30,133.6250457763672,260.5448913574219,19.956787109375,121.08869171142578,172.00799560546875
2021-07-01,133.92747497558594,261.21820068359375,20.16580581665039,121.4407958984375,171.64849853515625
2021-07-02,136.5519561767578,267.036865234375,20.440176010131836,124.2307357788086,175.5489959716797
2021-07-06,138.56178283691406,267.0466003417969,20.65119171142578,125.15560150146484,183.78700256347656
